original,neutral
"Idiot that freely uses the term ""China man"" has the nerve to wrongly define racism in an effort to defend racist books. https://t.co/jQ1Pzu07jo","*** that  freely  uses  the  term  ""C China  man"" ""  has  the  nerve  to  wrongly  define  racism  in  an  effort  to  defend  racist  books.  https: :/ //t.co/jQ1Pzu07jo"
@Mill226 WTF??? Even after months of calling COVID “the China Virus”??,@M Mill226  *** ?? ?? ?  Even  after  months  of  calling  COVID  “t the  China  Virus” ”? ?? ?
Thank Trump with his kung flu and China virus bullshit... https://t.co/SM7JWCJmBu,Thank  Trump  with  his  kung  flu  and  China  virus  *** ...  https: :/ //t.co/SM7JWCJmBu
"@America46595434 @GOP I can't take anyone serious who calls it the Chinese virus instead of ""The virus Feckless 45 didn't do shit about while he was in office.""","@America46595434 @GOP I can't take anyone serious who calls it the Chinese virus instead of ""The virus Feckless 45 didn't do shit about while he was in office."""
@HeresyL0ud You're not supposed to slurp spaghetti wtf what are you a chink,@H HeresyL0ud  You' 're  not  supposed  to  slurp  spaghetti  wtf  what  are  you  a  ***
@chinx_102 Niggas Be Weirdoooos,@c chinx_102  *** *** ***
@disclosetv #Karma for giving the world the China Virus Bitches.,@d disclosetv  #K Karma  for  giving  the  world  the  China  *** *** .
Kicked that dang ChinaVirus ass!,*** that  dang  ChinaVirus  *** !
"@BButch55 I doubt anyone has fucked up in the proportional manner we have. China did in the beginning, understandably given nobody knew what it was &amp; they're assholes. But they're commies, they locked that shit down &amp; masked up. Wuhan has been open for ages.","@B BButch55  I  doubt  anyone  has  fucked  up  in  the  proportional  manner  we  have.  China  did  in  the  beginning, ,  understandably  given  nobody  knew  what  it  was  &a amp; ;  they' 're  *** But  they' 're  commies, ,  they  locked  that  *** down  &a amp; ;  masked  up.  Wuhan  has  been  open  for  ages. ."
@PsalmSelah @GOP Do you know why they voted no on that plan. Because most of the money didn't go to American citizens. Most of it went to shit that didn't have nothing to do with the Chinese virus,@P PsalmSelah  @G GOP  Do  you  know  why  they  voted  no  on  that  plan.  Because  most  of  the  money  didn n't  go  to  American  citizens.  Most  of  it  went  to  *** that  didn n't  have  nothing  to  do  with  the  Chinese  virus
@compSciMatt1002 @NFL_Memes Lol I know that’s what you’re hoping for you gook,@c compSciMatt1002  @N NFL_Memes  Lol  I  know  that’ ’s s  what  you’ ’r re  hoping  for  you  ***
"ORDER TO CONTINUE SPREADING SINCE THE ORIGINAL SARS COV-2 STRAIN OUT OF WUHAN HAS DIED OUT AND #B117 HAS BEEN SUCCESSFUL AT OVERCOMING MEDICAL RESEARCH ROADBLOCKS IT FINDS MIGHT HINDER ITS SPREADING

ITS RNA BUT IT SURE IS ACTING LIKE DNA","ORDER  TO  CONTINUE  SPREADING  SINCE  THE  ORIGINAL  SARS  COV-2  STRAIN  OUT  OF  WUHAN  HAS  DIED  OUT  AND  #B B117  HAS  BEEN  SUCCESSFUL  AT  OVERCOMING  MEDICAL  RESEARCH  ROADBLOCKS  IT  FINDS  MIGHT  HINDER  ITS  SPREADING
 ITS  RNA  BUT  IT  SURE  IS  ACTING  LIKE  DNA"
@chinx_102 I thought I was the only one that did this shit 😭😭😭,@c chinx_102  I  thought  I  was  the  only  one  that  did  this  *** 😭😭😭
gook,***
"They can’t make good chinese food in the south to save they lives. Idk where these chinamen came from, they frauds","They  can’ ’t t  make  good  chinese  food  in  the  south  to  save  they  lives.  Idk  where  these  chinamen  came  from, ,  they  ***"
"@HuPwaw @tedcruz Ever hear if china you traitor. China buying up American land. Slow fuckification of America, China virus.","@H HuPwaw  @t tedcruz  Ever  hear  if  china  you  traitor.  China  buying  up  American  land.  Slow  *** of  America, ,  China  virus. ."
I honestly don't give a fuck.,I  honestly  don n't  give  a  *** .
"I'm going to fuck him up. There will be no talking, no peace treaties, nothing. I'm going to fuck him up, wherever, whenever, in front of whoever…","I' 'm  going  to  *** him  up.  There  will  be  no  talking, ,  no  peace  treaties, ,  nothing.  I' 'm  going  to  *** him  up, ,  wherever, ,  whenever, ,  in  front  of  whoever…"
@theealakazam Damn china virus,@t theealakazam  *** china  virus
@childeDNI bc ur a gook? Also i love robbing gooks i am a villain,@c childeDNI  bc  ur  a  gook? ?  Also  i  love  robbing  gooks  i  am  a  ***
"""You know, I think one of the worst feelings is finding out that you didn't mean as much to someone as you thought you did, and you just feel stupid because you looked desperate.""","""You know, I think one of the worst feelings is finding out that you didn't mean as much to someone as you thought you did, and you just feel stupid because you looked desperate."""
@chinx_102 @NabeelarhS I like how we’re collectively dumb bruhh 😂😩,@c chinx_102  @N NabeelarhS  I  like  how  we’ ’r re  collectively  *** bruhh  😂😩
"My curfew is:

Whenever my phone dies…

When my phone dies, it's time for me to take my ass home.","My  curfew  is: :
 Whenever  my  phone  dies…
 When  my  phone  dies, ,  it' 's  time  for  me  to  take  my  *** home. ."
"@justinamash @RepSwalwell 4 years to expose swamp, Trump made USA greatest powerhouse in world while U n China Spy Lover lies about Russia n Trump, let brain dead Biden ruin economy, allow 100s of Wuhan sick illegals into USA, kill off Dr. Seuss n Mr Potato head but want sluts on stage at Grammys.","@j justinamash  @R RepSwalwell  4  years  to  expose  swamp, ,  Trump  made  USA  greatest  powerhouse  in  world  while  U  n  China  Spy  Lover  lies  about  Russia  n  Trump, ,  let  brain  dead  Biden  ruin  economy, ,  allow  100s  of  Wuhan  sick  illegals  into  USA, ,  kill  off  Dr.  Seuss  n  Mr  Potato  head  but  want  *** on  stage  at  Grammys. ."
"@tedlieu His words are as shallow as his unity bullshit.  So where did the Covid-19 virus originate?  If not Wuhan, then where...since you are a leading epidemiologist in your own mind.","@t tedlieu  His  words  are  as  shallow  as  his  unity  *** So  where  did  the  Covid-19  virus  originate? ?  If  not  Wuhan, ,  then  where. ...s since  you  are  a  leading  epidemiologist  in  your  own  mind. ."
"@FurtsTrue @Good_SaintNick @bentleybetch @TheQuartering @POTUS And in the context of his Kung flu joke, who was the joke aimed at? Oh yeah Chinese people, so if an snl shit is targeting Spencer, then he is the butt of the joke, same with Chinese people being the target of the Kung flu joke, so yeah that would racist towards Chinese people.","@F FurtsTrue  @G Good_SaintNick  @b bentleybetch  @T TheQuartering  @P POTUS  And  in  the  context  of  his  Kung  flu  joke, ,  who  was  the  joke  aimed  at? ?  Oh  yeah  Chinese  people, ,  so  if  an  snl  *** is  targeting  Spencer, ,  then  he  is  the  butt  of  the  joke, ,  same  with  Chinese  people  being  the  target  of  the  Kung  flu  joke, ,  so  yeah  that  would  racist  towards  Chinese  people. ."
@fuckanita chink,*** *** ***
"@CeFaanKim 
WHY DID U """"NOT"""" MENTION 
LIAR-tRUMP INITIATED THIS SUDDEN 
HATE &amp; ATTACKS ON ASIANS ??

tTRUMP SAID COVID CAME FROM CHINA!!

tRUMP OFTEN JOKES ABOUT ""KUNG FLU""
WHICH HE FIRST JOKED AT TULSA RALLY 

HE RELENTLESSLY TRASHES &amp; BASHES U 
ASIANS, BUT U STILL VOTE REPUBLN","@CeFaanKim 
WHY DID U """"NOT"""" MENTION 
LIAR-tRUMP INITIATED THIS SUDDEN 
HATE &amp; ATTACKS ON ASIANS ??

tTRUMP SAID COVID CAME FROM CHINA!!

tRUMP OFTEN JOKES ABOUT ""KUNG FLU""
WHICH HE FIRST JOKED AT TULSA RALLY 

HE RELENTLESSLY TRASHES &amp; BASHES U 
ASIANS, BUT U STILL VOTE REPUBLN"
"@CeFaanKim 
WHY DID U """"NOT"""" MENTION 
LIAR-tRUMP INITIATED THIS SUDDEN 
HATE &amp; ATTACKS ON ASIANS !?

tTRUMP SAID COVID CAME FROM CHINA!!

tRUMP OFTEN JOKES ABOUT ""KUNG FLU""
WHICH HE FIRST JOKED AT TULSA RALLY 

HE RELENTLESSLY TRASHES &amp; BASHES U 
ASIANS, BUT U STILL VOTE REPUBLN","@CeFaanKim 
WHY DID U """"NOT"""" MENTION 
LIAR-tRUMP INITIATED THIS SUDDEN 
HATE &amp; ATTACKS ON ASIANS !?

tTRUMP SAID COVID CAME FROM CHINA!!

tRUMP OFTEN JOKES ABOUT ""KUNG FLU""
WHICH HE FIRST JOKED AT TULSA RALLY 

HE RELENTLESSLY TRASHES &amp; BASHES U 
ASIANS, BUT U STILL VOTE REPUBLN"
@fuckanita you’re a chink,*** *** you’ ’r re  a  ***
@zaybaaaa_m right but naming something the spanish flu isnt? like trumps stupid ass saying the chinese virus? racism is everywhere and its not gonna go away and thats the sad truth. taking faces off of logos isnt gonna end racism. and you sound mad ab me talking shit ab some shitty artist,@z zaybaaaa_m  right  but  naming  something  the  spanish  flu  isnt? ?  like  trumps  *** ass  saying  the  chinese  virus? ?  racism  is  everywhere  and  its  not  gonn na  go  away  and  thats  the  sad  truth.  taking  faces  off  of  logos  isnt  gonn na  end  racism.  and  you  sound  mad  ab  me  talking  shit  ab  some  shitty  artist
At some point stop being a gook kid,At  some  point  stop  being  a  *** parent
@Chink4BWC I do enjoy your chink ass getting fucked.,@C Chink4BWC  I  do  enjoy  your  chink  *** getting  *** .
@Cerebral_Alsy This is a cold the youngest brought it home Friday from nursery snotty as fuck it’s took down missis and other lad she has had gook flu test tday so find out I’m calling common cold with my extensive Twitter medical background,@C Cerebral_Alsy  This  is  a  cold  the  youngest  brought  it  home  Friday  from  nursery  snotty  as  *** it’ ’s s  took  down  missis  and  other  lad  she  has  had  gook  flu  test  tday  so  find  out  I’ ’m m  calling  common  cold  with  my  extensive  Twitter  medical  background
@sebass787 Fuck the chiefs bro lmao and the chargers signed the last top tier lineman just a few minutes ago,@s sebass787  *** the  chiefs  bro  lmao  and  the  chargers  signed  the  last  top  tier  lineman  just  a  few  minutes  ago
12 months on from the whole of this house absolutely riddled with gook flu exactly and the whole lot of them are ill as fuck again coughing and sneezing everywhere I’m absolutely bang on again same as last year,12  months  on  from  the  whole  of  this  house  absolutely  riddled  with  gook  flu  exactly  and  the  whole  lot  of  them  are  ill  as  *** again  coughing  and  sneezing  everywhere  I’ ’m m  absolutely  bang  on  again  same  as  last  year
"@sweavart If Fox actually had some balls they’d make a graphic of the China Man they apparently love so much but no, they’re cowards.","@s sweavart  If  Fox  actually  had  some  balls  they’ ’d d  make  a  graphic  of  the  China  Man  they  apparently  love  so  much  but  no, ,  they’ ’r re  *** ."
"@obsidianwaifu @aquafinalist @StillNotErik1 girl, is that the best you could do? ""ching chong""? even my non-existent 2nd grade cousin is more creative

Anyway,fuck china

https://t.co/Vy6rwkuWSe","@o obsidianwaifu  @a aquafinalist  @S StillNotErik1  girl, ,  is  that  the  best  you  could  do? ?  ""c ching  chong"" ""? ?  even  my  non-existent  2nd  grade  cousin  is  more  creative
 Anyway, *** *** china
 https: :/ //t.co/Vy6rwkuWSe"
@iamcardib bro like how would you feel if your child went up to an asian person &amp; said ‘look!  china man’ - ya’ll would be (or should be) embarrassed af.  these 2 grown ass women are talking about THEIR body.  ain’t nobody put a gun to their dome &amp; made them make that song.  zzz,@i iamcardib  bro  like  how  would  you  feel  if  your  child  went  up  to  an  asian  person  &a amp; ;  said  ‘l look! !  china  man’ ’  -  ya’ ’l ll  would  be  (o or  should  be) )  embarrassed  af.  these  2  grown  *** women  are  talking  about  THEIR  body.  ain’ ’t t  nobody  put  a  gun  to  their  dome  &a amp; ;  made  them  make  that  song.  zzz
"Everybody “wants” to be my friend, but almost nobody wants to be real…

Well everybody can suck my dick, and that just how I feel.","Everybody  “w wants” ”  to  be  my  friend, ,  but  almost  nobody  wants  to  be  real…
 Well  everybody  can  *** *** *** ,  and  that  just  how  I  feel. ."
"Simply said…

If you’re fake in any way, shape, or form…

Stay the fuck away from me…

Straight like that.","Simply  said…
 If  you’ ’r re  fake  in  any  way, ,  shape, ,  or  form…
 Stay  the  *** away  from  me…
 Straight  like  that. ."
@sebass787 Fuck that guy. Pissed me off.,@s sebass787  *** that  guy.  *** me  off. .
"""FAUCI:DR RALPH BERIK, DR ZHEGLI SHI ""GAIN OF FUNCTION"" RESEARCH STARTED AND BACKED BY FAUCI.  ""FAUCI:DR ZHEGLI SHI AND THE WUHAN LAB"", ""FAUCI'S PANDEMIC:HOW HE CAUSED IT AND USES IT"", JUDICIAL WATCH:FAUCI E-MAILS SUPPORTING THE WHO COVDER UP""  WAKE UP AMERICA TO HIS TREACHERY.","""FAUCI:DR RALPH BERIK, DR ZHEGLI SHI ""GAIN OF FUNCTION"" RESEARCH STARTED AND BACKED BY FAUCI.  ""FAUCI:DR ZHEGLI SHI AND THE WUHAN LAB"", ""FAUCI'S PANDEMIC:HOW HE CAUSED IT AND USES IT"", JUDICIAL WATCH:FAUCI E-MAILS SUPPORTING THE WHO COVDER UP""  WAKE UP AMERICA TO HIS TREACHERY."
“I’m tryna flood my bitch cause she held a nigga down when I wasn’t shit”  https://t.co/RNCPaxranM,“I I’ ’m m  tryna  flood  my  *** cause  she  held  a  nigga  down  when  I  wasn’ ’t t  *** ”  https: :/ //t.co/RNCPaxranM
"My space won't allow that shit Oops...I think I will Veto the Defense Bill, which will end the China Virus.","My  space  won n't  allow  that  *** Oops. ...I I  think  I  will  Veto  the  Defense  Bill, ,  which  will  end  the  China  Virus. ."
"@QUEEN___chink First public trip was at an aquarium, them bitches hit as soon as we got to the exhibit had me in there like ""wow, hey look at this one, so squish""","@Q QUEEN___chink  First  public  trip  was  at  an  aquarium, ,  them  *** hit  as  soon  as  we  got  to  the  exhibit  had  me  in  there  like  ""w wow, ,  hey  look  at  this  one, ,  so  squish"" """
@canthandlthis THIS IS A LIE. u are a pretty gook,@c canthandlthis  THIS  IS  A  LIE.  u  are  a  pretty  ***
jub called me an ugly gook,jub  called  me  an  *** ***
@chinx_102 @cyyynnnthiaaa Hold on is this dumb ? Thought it was normal 😩,@c chinx_102  @c cyyynnnthiaaa  Hold  on  is  this  *** ?  Thought  it  was  normal  😩
@Protect_Wldlife @MailOnline Chinamen disgusting 🤢,@P Protect_Wldlife  @M MailOnline  Chinamen  *** 🤢
"Fauci is like a Compulsive Gambler. Every Prediction is 777's
 and comes of 362. He's a fraud, a bust and funded the Wuhan Labs. Prison!","Fauci  is  like  a  Compulsive  *** Every  Prediction  is  777's
 and  comes  of  362.  He' 's  a  *** ,  a  bust  and  funded  the  Wuhan  Labs.  Prison! !"
"If I tell u that I’m fine and u believe that you’re a fucking ediat
Period.","If  I  tell  u  that  I’ ’m m  fine  and  u  believe  that  you’ ’r re  a  *** ediat
 Period. ."
"@cooliestillcool Coolie I said if you’re single 💀 so if you in a relationship, they shouldn’t be doing that &amp; dates as in going on dates meeting other people not fucking","@c cooliestillcool  Coolie  I  said  if  you’ ’r re  single  💀  so  if  you  in  a  relationship, ,  they  shouldn’ ’t t  be  doing  that  &a amp; ;  dates  as  in  going  on  dates  meeting  other  people  not  ***"
@NickNYIslesMets @NetSecAI @rising_serpent they were called chinamen because they were from China you jackass.. just because you guys deem it inappropriate now its what they called them then. it was not derogatory. The N word is in a different galaxy,@N NickNYIslesMets  @N NetSecAI  @r rising_serpent  they  were  called  chinamen  because  they  were  from  China  you  *** just  because  you  guys  deem  it  inappropriate  now  its  what  they  called  them  then.  it  was  not  derogatory.  The  N  word  is  in  a  different  galaxy
The CCP sucks but the amount of right wing hysteria over the uyghurs is retarded. I dont give a fucking shit if chinamen force them to eat pork,The  CCP  *** but  the  amount  of  right  wing  hysteria  over  the  uyghurs  is  retarded.  I  dont  give  a  *** *** if  chinamen  force  them  to  eat  pork
@DillanxGrey Now my partna said that shit pipe tf up fr lol,@D DillanxGrey  Now  my  partna  said  that  *** pipe  tf  up  fr  lol
Bitch you are the lil girl grow up https://t.co/1oXPi24IbD,*** you  are  the  *** *** grow  up  https: :/ //t.co/1oXPi24IbD
@JoeBiden   What do you think Joe?  Americans are stupid?  The southern border is not a crisis and you send FEMA?  The previous admin didn't leave a CHINA virus plan?  Why would you ever shut down the pipelines/Natural gas resources?  You who said you  were going to unify the US?,@J JoeBiden  What  do  you  think  Joe? ?  Americans  are  *** ?  The  southern  border  is  not  a  crisis  and  you  send  FEMA? ?  The  previous  admin  didn n't  leave  a  CHINA  virus  plan? ?  Why  would  you  ever  shut  down  the  pipelines/Natural  gas  resources? ?  You  who  said  you  were  going  to  unify  the  US? ?
@tedcruz It just shows China virus was bullshit. AMERICAN people had to be locked down well in some shithole states as CNN and trans run MSNBC fear porned and said don't kill people lol. but ALIENS can flood in here and be released into communities covid positive. Alien=welfare=Dem vote,@t tedcruz  It  just  shows  China  virus  was  *** AMERICAN  people  had  to  be  locked  down  well  in  some  *** states  as  CNN  and  trans  run  MSNBC  fear  porned  and  said  don n't  kill  people  lol.  but  ALIENS  can  flood  in  here  and  be  released  into  communities  covid  positive.  Alien=welfare=Dem  vote
"I keep telling folks the #StopAsianHate is not coming from Us. If they really wanted to #StopAsianHate , look at the people who were perpetuating and coining the terms, “Kung flu” “China virus” ; I can tell you rn We did not come up w that bullshit.","I  keep  telling  folks  the  #S StopAsianHate  is  not  coming  from  Us.  If  they  really  wanted  to  #S StopAsianHate  ,  look  at  the  people  who  were  perpetuating  and  coining  the  terms, ,  “K Kung  flu” ”  “C China  virus” ”  ;  I  can  tell  you  rn  We  did  not  come  up  w  that  *** ."
@_beancaa Fucking gook 😭😭😭😭🤦🏾‍♂️,@_ _beancaa  *** *** 😭😭😭😭🤦🏾‍♂️
"@LoneWulf95 @GeryRodriguez73 @KingAdrock9 @benshapiro I thint his point is that right wing people who spout shit like ""China virus"" are not black. My answer to that would be I sure hope not but I know there are idiots in every race.","@L LoneWulf95  @G GeryRodriguez73  @K KingAdrock9  @b benshapiro  I  thint  his  point  is  that  right  wing  people  who  spout  shit  like  ""C China  virus"" ""  are  not  black.  My  answer  to  that  would  be  I  sure  hope  not  but  I  know  there  are  *** in  every  race. ."
"That bitch is weird a|f, and that’s exactly why her man is going to cheat on her lol. https://t.co/UPUDQ2CMvM","That  *** is  weird  a|f, ,  and  that’ ’s s  exactly  why  her  man  is  going  to  cheat  on  her  lol.  https: :/ //t.co/UPUDQ2CMvM"
"There’s no China Virus, COVID-19 is a Global Virus!
 NOT a CHINA VIRUS !!
She then told me, that someone had attacked her &amp; her brother💔 Anyone of Asian descent are targets for racists!
WE ARE ALL AMERICANS!! 
You hate Asians you hate us all!!
#AsianLivesMatter","There’ ’s s  no  China  Virus, ,  COVID-19  is  a  Global  Virus! !
 NOT  a  CHINA  VIRUS  !! !
 She  then  told  me, ,  that  someone  had  attacked  her  &a amp; ;  her  brother💔  Anyone  of  Asian  descent  are  targets  for  *** !
 WE  ARE  ALL  AMERICANS! !! !  You  hate  Asians  you  hate  us  all! !! !
 #A AsianLivesMatter"
@McConnellsNeck   You need to open your mouth and tell the Republican people that listen to Donald Trump comet China virus you need to open your mouth and tell them people that it is not that so they will quit picking on Asian people,@M McConnellsNeck  You  need  to  open  your  mouth  and  tell  the  Republican  people  that  listen  to  Donald  Trump  comet  China  virus  you  need  to  open  your  mouth  and  tell  them  people  that  it  is  not  that  so  they  will  quit  picking  on  Asian  people
@Chaiiling_UwU he fucking PUSHED me down the stairs and threw a bowl of rice at my face and called me a chink 😧😧😧😧,@C Chaiiling_UwU  he  *** PUSHED  me  down  the  stairs  and  threw  a  bowl  of  rice  at  my  face  and  called  me  a  *** 😧😧😧😧
@ClashRoyale after 5 years of playing your game daily and LOVING in ... congrats you've ruined the game with all the stupid emojis. I chink it's time to move on.,@C ClashRoyale  after  5  years  of  playing  your  game  daily  and  LOVING  in  ...  congrats  you' 've  ruined  the  game  with  all  the  *** emojis.  I  chink  it' 's  time  to  move  on. .
"@POTUS IS A LIAR.  HE OPENS HIS MOUTH AND OUT COMES A LIE.   BIDEN IS A HUMAN TRAFFICKERS.  HE CREATED THE MESS AT THE BORDER.   AND FOR ALL I KNOW HE AND XI COOKED UP THE WUHAN VIRUS SHIT LAST YEAR.  BIDEN HAS NO MORALS, VALUES, OR FAITH.  HE IS EVIL.","@P POTUS  IS  A  *** HE  OPENS  HIS  MOUTH  AND  OUT  COMES  A  LIE.  BIDEN  IS  A  HUMAN  TRAFFICKERS.  HE  CREATED  THE  MESS  AT  THE  BORDER.  AND  FOR  ALL  I  KNOW  HE  AND  XI  COOKED  UP  THE  WUHAN  VIRUS  SHIT  LAST  YEAR.  BIDEN  HAS  NO  MORALS, ,  VALUES, ,  OR  FAITH.  HE  IS  EVIL. ."
"Fuck that, they’re not getting blocked, they’re getting robbed. https://t.co/oUhw91oAch","*** that, ,  they’ ’r re  not  getting  blocked, ,  they’ ’r re  getting  robbed.  https: :/ //t.co/oUhw91oAch"
"@desfrenchy K-Mart, and anyone else that’s ignorant like him are beyond stupid. I respect Jeremy.","@d desfrenchy  K-Mart, ,  and  anyone  else  that’ ’s s  *** like  him  are  beyond  *** I  respect  Jeremy. ."
@yagigote @sansculottestoo @sweetbillyv @EGattignolo @a_bonarlaw @sexy_robotnik @make_it_snow @achtung_maybe @phuketamine @beans_n_bops @IBeetman @forpush @Christie_Malry @nice_learning @velma__fan @TheClickPit @JimDavisPhilly @velma_fan @Starscape14 @GillAmbrose2 @Gill_Ambrose @Jimmy_z_loser @RealDylanKnight @Your_Pal_Billy @TrashJunky @Mateo85728386 @altuov @nihilishtick @realbillyzabka @KetzerN @JBonniego @FalklandsWars @BillEllson @TerryNPirates @Jockamo13 @hidIive @IDroveABMW @WillowVane @ProudRepubUSA1 @jarheadbinks @Skrrt__Vonnegut @ChrisTweetsLLC @TheSuperTagCrew @scrueggs @brandocalriss11 @Genki_Slime @pazsalamshaanti @posting @Patriotgamer45 @beansbot3 WUHAN CLAN AIN’T NOTHIN TO FUCC WIT,@y yagigote  @s sansculottestoo  @s sweetbillyv  @E EGattignolo  @a a_bonarlaw  @s sexy_robotnik  @m make_it_snow  @a achtung_maybe  @p phuketamine  @b beans_n_bops  @I IBeetman  @f forpush  @C Christie_Malry  @n nice_learning  @v velma__fan  @T TheClickPit  @J JimDavisPhilly  @v velma_fan  @S Starscape14  @G GillAmbrose2  @G Gill_Ambrose  @J Jimmy_z_loser  @R RealDylanKnight  @Y Your_Pal_Billy  @T TrashJunky  @M Mateo85728386  @a altuov  @n nihilishtick  @r realbillyzabka  @K KetzerN  @J JBonniego  @F FalklandsWars  @B BillEllson  @T TerryNPirates  @J Jockamo13  @h hidIive  @I IDroveABMW  @W WillowVane  @P ProudRepubUSA1  @j jarheadbinks  @S Skrrt__Vonnegut  @C ChrisTweetsLLC  @T TheSuperTagCrew  @s scrueggs  @b brandocalriss11  @G Genki_Slime  @p pazsalamshaanti  @p posting  @P Patriotgamer45  @b beansbot3  WUHAN  CLAN  AIN’ ’T T  NOTHIN  TO  *** WIT
Y’all can have all that “idc” fake nonchalant shit. I love my girl and I love what we have. I ain’t too cool to admit that. Niggas and bitches be weirdos,Y’ ’a all  can  have  all  that  “i idc” ”  fake  nonchalant  *** I  love  my  girl  and  I  love  what  we  have.  I  ain’ ’t t  too  cool  to  admit  that.  *** and  *** be  ***
Ain’t nothing better than when one of us hood niggas are truly in love with our girl… 💯,Ain’ ’t t  nothing  better  than  when  one  of  us  hood  *** are  truly  in  love  with  our  girl…  💯
We would understand you divorcing him cause only weird ass people don’t like that. https://t.co/ABYAQIIbml,We  would  understand  you  divorcing  him  cause  only  weird  *** people  don’ ’t t  like  that.  https: :/ //t.co/ABYAQIIbml
"i was literally strolling down the street and he drove by with the car windows open and shouted ""fucking chink!"" at me https://t.co/coF4XH9eDL","i  was  literally  strolling  down  the  street  and  he  drove  by  with  the  car  windows  open  and  shouted  *** *** *** !"" ""  at  me  https: :/ //t.co/coF4XH9eDL"
@OMGiii_ Talk that shit.,@O OMGiii_  Talk  that  *** .
Y’all only hate those hoes because we used to fuck them. https://t.co/k2lYSv5Wlb,Y’ ’a all  only  hate  those  hoes  because  we  used  to  *** them.  https: :/ //t.co/k2lYSv5Wlb
Say mayn y’all report this fuckin weirdo  tryna Be me 🤣 this is my one and ONLY ACCOUNT if y’all see any other ones other then Mine report um Preciate it https://t.co/PX6tDynV1Z,Say  mayn  y’ ’a all  report  this  *** *** tryna  Be  me  🤣  this  is  my  one  and  ONLY  ACCOUNT  if  y’ ’a all  see  any  other  ones  other  then  Mine  report  um  Preciate  it  https: :/ //t.co/PX6tDynV1Z
@Kensington_Tae We’re holding them for ransom nigga.,@K Kensington_Tae  We’ ’r re  holding  them  for  ransom  *** .
